WL #,May 31 - June 3,June 3 - 6,June 7-13,June 14-20,June 21-27,June 28-July 4,July 5-11,July 12-18,July 19-25,July 26-Aug 1,Aug 2-8,Aug 9-15
10,,,,,,,,,,,,"4PC,4PC"
14,,,,,,,,,,,,"4PC,4PC"
61,,,,,,,,,,,,"4PC,6PC"
102,,,,,,,"4PC,5PC",,,,,"4PC,5PC"
112,,,,,,,,,"4PC,4PC",,"4PC,4PC",
113,,,,,,,,,,"6PC,6PC","6PC,6PC",
118,,,,,,,,,,"4PC,6PC",,"4PC,6PC"
123,,,,,,,,,,,"6PC,5PC","6PC,5PC"
124,,,,,,,,,,,"5PC,6PC","5PC,6PC"
128,,,"4PC,4PC","4PC,4PC",,,,,,,,"4PC,4PC"
132,,,,,,,,,,,"6PC,5PC",
145,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC",
147,,,,,,"4PC,3PC",,,,,,"4PC,3PC"
148,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,,
153,,,,"4PC,5PC",,,,,,,,
154,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,
156,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
159,,,,"6PC,4PC",,,,,"6PC,4PC",,,
165,,,,,,,,,"4PC,5PC",,"4PC,5PC",
169,,,,,,,,,"4PC,6PC",,,
171,,,"4PC,5PC",,,,,,,,"4PC,5PC","4PC,5PC"
174,,,,,,,,,"6PC,5PC",,,
175,,,"4PC,4PC",,,,,,,,"4PC,4PC","4PC,4PC"
176,,,,,,,,,,,"6PC,5PC",
181,,,"6PC,4PC","6PC,4PC",,,,,,,,
182,,,,,,,,"4PC,4PC",,,,
185,,,"4PC,4PC",,,,,,,,"4PC,4PC","4PC,4PC"
186,,,,,,,,,,,"5PC,6PC",
187,,,,,,,,,"6PC,6PC",,,
188,,,"6PC,4PC",,,,,,"6PC,4PC","6PC,4PC",,
189,,,,,,,,,"4PC,5PC",,"4PC,5PC",
