Page,X,Y,RawText,InterpretedCabin
1,152,104,Camp,
1,259,104,Mather,
1,380,104,2026,
1,470,104,Waiting,
1,604,104,List,
1,153,217,Find,
1,228,213,your,
1,306,213,waiting,
1,433,217,list,
1,490,217,number.,
1,634,217,Count,
1,743,217,number,
1,877,217,of,
1,916,217,families,
1,1054,217,above,
1,1158,223,you,
1,1227,217,requesting,
1,1406,223,same,
1,1502,217,week(s),
1,1639,217,/,
1,1660,217,cabin,
1,1758,217,size(s).,
1,188,370,Waiting,
1,334,370,List#,
1,458,374,May31-June3,
1,755,374,June3-6,
1,946,374,June7-13,
1,1152,374,June14-20,
1,1367,374,June21-27,
1,1582,374,June28-July4,
1,1860,374,July5-11,
1,2066,374,July12-18,
1,2266,374,July19-25,
1,2472,374,July,
1,2549,374,26-Aug1,
1,2728,370,Aug,
1,2796,374,2-8,
1,2934,370,Aug,
1,3005,374,9-15,
1,150,413,a,
1,321,417,a,
1,604,417,Gs,
1,946,417,GQ,
1,1367,413,7000,
1,1861,417,GQ,
1,2473,417,GO,
1,150,470,poe,
1,1130,470,facapc,facapc
1,1348,470,fapciapc,fapciapc
1,1565,470,fapcapc,fapcapc
1,1809,470,|,
1,1980,474,|,
1,2289,474,|,
1,150,526,pos,
1,1124,526,fapcapc,fapcapc
1,1341,526,|,
1,1565,526,fapcapc,fapcapc
1,1815,526,|,
1,1980,530,|,
1,2513,526,fara,
1,154,587,a,
1,703,583,Coo,
1,1150,583,GG,
1,1822,583,C0710,
1,2730,583,Co?,
1,2829,583,(oo,
1,150,639,po,
1,1032,639,force,force
1,150,696,p,
1,261,700,6,
1,373,696,CUT,
1,597,696,CT,
1,847,696,Cdr,
1,1130,696,fapcapc,fapcapc
1,1341,696,|,
1,1565,696,fapcapc,fapcapc
1,1815,696,|,
1,1986,700,|,
1,2289,700,|,
1,154,756,pT,
1,867,752,arcsec,arcsec
1,1124,752,fapcsec,fapcsec
1,1354,752,|,
1,1361,756,TT,
1,150,809,pe,
1,861,809,fac,
1,1124,809,fapcspc,fapcspc
1,1348,809,|,
1,1493,813,|,
1,1855,809,E,
1,150,865,poo,
1,373,865,CTs,
1,1130,865,fapcspc,fapcspc
1,1341,865,|,
1,1558,865,fapcispc,fapcispc
1,1815,865,|,
1,1986,869,|,
1,150,922,|,
1,248,922,to,
1,604,922,Cd,
1,920,922,fapcapc,fapcapc
1,1137,922,|,
1,1282,926,|,
